,Gamma,Error,Time,Iterations
555,0.44499999999999995,16,0.0,2
556,0.44399999999999995,16,0.0009937286376953125,2
557,0.44299999999999995,16,0.0,2
558,0.44199999999999995,16,0.000997781753540039,2
559,0.44099999999999995,16,0.0,2
560,0.43999999999999995,16,0.0009970664978027344,2
561,0.43899999999999995,16,0.0,2
562,0.43799999999999994,16,0.0,2
563,0.43699999999999994,16,0.0009970664978027344,2
564,0.43600000000000005,16,0.0,2
565,0.43500000000000005,16,0.000997304916381836,2
566,0.43400000000000005,16,0.0,2
567,0.43300000000000005,16,0.0,2
568,0.43200000000000005,16,0.0,2
569,0.43100000000000005,16,0.0,2
570,0.43000000000000005,16,0.000997304916381836,2
571,0.42900000000000005,16,0.0,2
572,0.42800000000000005,16,0.0,2
573,0.42700000000000005,16,0.0,2
574,0.42600000000000005,16,0.0010144710540771484,2
575,0.42500000000000004,16,0.0,2
576,0.42400000000000004,16,0.000980377197265625,2
577,0.42300000000000004,16,0.0,2
578,0.42200000000000004,16,0.0,2
579,0.42100000000000004,16,0.000997304916381836,2
580,0.42000000000000004,16,0.0,2
581,0.41900000000000004,16,0.0009970664978027344,2
582,0.41800000000000004,16,0.0,2
583,0.41700000000000004,16,0.0,2
584,0.41600000000000004,16,0.0009975433349609375,2
585,0.41500000000000004,16,0.0009987354278564453,2
586,0.41400000000000003,16,0.0,2
587,0.41300000000000003,16,0.0,2
588,0.41200000000000003,16,0.0009982585906982422,2
589,0.41100000000000003,16,0.0,2
590,0.41000000000000003,16,0.0010135173797607422,2
591,0.40900000000000003,16,0.0,2
592,0.40800000000000003,16,0.0009801387786865234,2
593,0.40700000000000003,16,0.0,2
594,0.406,16,0.0009970664978027344,2
595,0.405,16,0.0,2
596,0.404,16,0.0,2
597,0.403,16,0.0,2
598,0.402,16,0.0,2
599,0.401,16,0.000997304916381836,2
600,0.4,16,0.0,2
601,0.399,16,0.0,2
602,0.398,16,0.0,2
603,0.397,16,0.0,2
604,0.396,16,0.0009975433349609375,2
605,0.395,16,0.0,2
606,0.394,16,0.0,2
607,0.393,16,0.0,2
608,0.392,16,0.0,2
609,0.391,16,0.000997781753540039,2
610,0.39,16,0.0,2
611,0.389,16,0.0009968280792236328,2
612,0.388,16,0.0,2
613,0.387,16,0.0,2
614,0.386,16,0.0009975433349609375,2
615,0.385,16,0.0,2
616,0.384,16,0.0,2
617,0.383,16,0.0,2
618,0.382,16,0.0,2
619,0.381,16,0.000997304916381836,2
620,0.38,16,0.0,2
621,0.379,16,0.0009984970092773438,2
622,0.378,16,0.0,2
623,0.377,16,0.000997304916381836,2
624,0.376,16,0.0009965896606445312,2
625,0.375,16,0.0,2
626,0.374,16,0.0009980201721191406,2
627,0.373,16,0.0,2
628,0.372,16,0.0010025501251220703,2
629,0.371,16,0.0,2
630,0.37,16,0.0010056495666503906,2
631,0.369,16,0.0,2
632,0.368,16,0.0009829998016357422,2
633,0.367,16,0.0,2
634,0.366,16,0.0,2
635,0.365,16,0.0009970664978027344,2
636,0.364,16,0.0,2
637,0.363,16,0.0,2
638,0.362,16,0.0,2
639,0.361,16,0.0,2
640,0.36,16,0.000997304916381836,2
641,0.359,16,0.0,2
642,0.358,16,0.0,2
